state_text,state_phonetic
Alabama,ˌæləˈbæmə 
Alaska,əˈlæskə 
Arizona,ˌɛrɪˈzoʊnə 
Arkansas,ˈɑrkənˌsɑ 
California,ˌkæləˈfɔrnjə 
Colorado,ˌkɑləˈrɑdoʊ 
Connecticut,kəˈnɛtəkət 
Delaware,ˈdɛləˌwɛr 
Florida,ˈflɔrədə 
Georgia,ˈʤɔrʤə 
Hawaii,həˈwaɪˌi 
Idaho,ˈaɪdəˌhoʊ 
Illinois,ˌɪləˈnɔɪ 
Indiana,ˌɪndiˈænə 
Iowa,ˈaɪəwə 
Kansas,ˈkænzəs 
Kentucky,kənˈtʌki 
Louisiana,luˌiziˈænə 
Maine,meɪn 
Maryland,ˈmɛrələnd 
Massachusetts,ˌmæsəˈʧusəts 
Michigan,ˈmɪʃɪgən 
Minnesota,ˌmɪnɪˈsoʊtə 
Mississippi,ˌmɪsɪˈsɪpi 
Missouri,məˈzʊri 
Montana,mɑnˈtænə 
Nebraska,nəˈbræskə 
Nevada,nəˈvɑdə 
New Hampshire,nu ˈhæmpʃər 
New Jersey,nu ˈʤɜrzi 
New Mexico,nu ˈmɛksəˌkoʊ 
New York,nu jɔrk 
North Carolina,nɔrθ ˌkɛrəˈlaɪnə 
North Dakota,nɔrθ dəˈkoʊtə 
Ohio,oʊˈhaɪoʊ 
Oklahoma,ˌoʊkləˈhoʊmə 
Oregon,ˈɔrəgən 
Pennsylvania,ˌpɛnsəlˈveɪnjə 
Rhode Island,roʊd ˈaɪlənd 
South Carolina,saʊθ ˌkɛrəˈlaɪnə 
South Dakota,saʊθ dəˈkoʊtə 
Tennessee,ˌtɛnəˈsi 
Texas,ˈtɛksəs 
Utah,ˈjuˌtɔ 
Vermont,vərˈmɑnt 
Virginia,vərˈʤɪnjə 
Washington,ˈwɑʃɪŋtən 
West Virginia,wɛst vərˈʤɪnjə 
Wisconsin,wɪˈskɑnsən 
Wyoming,ˌwaɪˈoʊmɪŋ